ProductID,SKU,ProductName,Brand,CategoryID,SupplierID,CostPrice,SellingPrice,LaunchDate,Status
39,SKU-03-00039,"Flexispot Bookcase 5-Shelf",Flexispot,3,85,763.97,1477.34,2023-05-12,Active
40,SKU-04-00040,"John Lewis Dining Table Set","John Lewis",4,86,370.51,604.78,2025-02-16,Active
41,SKU-05-00041,"Leitz A4 Notebook",Leitz,5,25,381.3,817.26,2019-08-09,"Out of Stock"
42,SKU-06-00042,"Canon Ink Cartridge Black",Canon,6,73,274.35,485.75,2022-11-16,Active
43,SKU-07-00043,"Breville Blender Pro",Breville,7,27,389.75,701.93,2022-08-12,"Out of Stock"
44,SKU-08-00044,"Habitat Scented Candle Set",Habitat,8,57,400.73,582.27,2023-11-18,Active
45,SKU-09-00045,"Opti Adjustable Dumbbell Set",Opti,9,85,80.89,140.72,2025-04-27,"Out of Stock"
46,SKU-10-00046,"Berghaus Camping Backpack 40L",Berghaus,10,12,737.49,1448.12,2025-03-01,"Out of Stock"
47,SKU-11-00047,"Microsoft Xbox Series X",Microsoft,11,104,183.22,233.28,2020-03-07,Active
48,SKU-12-00048,"Corsair G Pro Wireless Mouse",Corsair,12,59,375.92,694.8,2024-12-14,Active
49,SKU-13-00049,"Next Ploo Shirt",Next,13,50,447.47,663.05,2020-03-09,"Out of Stock"
50,SKU-14-00050,"Nike Floral Midi Dress",Nike,14,115,677.11,1341.72,2025-03-16,Active
51,SKU-15-00051,"Kipling Backpack 25L",Kipling,15,23,724.68,1384.95,2025-09-24,Active
52,SKU-16-00052,"Fossil Charm Necklace",Fossil,16,32,826.14,1127.92,2021-09-05,Active
53,SKU-17-00053,"Beko American Style Fridge Freezer",Beko,17,72,537.93,1157.91,2022-05-06,Active
54,SKU-18-00054,"Morphy Richards Upright Vacuum Cleaner","Morphy Richards",18,55,748.36,1324.96,2025-04-27,Active
55,SKU-01-00055,"Samsung ROG Strix G15",Samsung,1,34,677.84,1388.13,2025-06-29,Active
56,SKU-02-00056,"Anker Flip 6 Speaker",Anker,2,63,565.94,855.06,2025-04-01,Active
57,SKU-03-00057,"Duramont Filing Cabinet 3-Drawer",Duramont,3,31,248.19,385.62,2024-12-01,Discontinued
58,SKU-04-00058,"IKEA Bedside Table",IKEA,4,20,211.98,404.72,2019-01-23,"Out of Stock"
59,SKU-05-00059,"Pilot Sticky Notes Pack",Pilot,5,54,369.8,652.87,2022-11-01,Active
60,SKU-06-00060,"HP OfficeJet Pro 9015",HP,6,107,381.03,803.82,2019-09-22,Discontinued
61,SKU-07-00061,"Philips Air Fryer Max",Philips,7,110,793.19,1425.29,2025-08-20,Active
62,SKU-08-00062,"IKEA Photo Frame Set",IKEA,8,39,679.36,1400.01,2020-12-02,Active
63,SKU-09-00063,"Domyos Kettlebell 10kg",Domyos,9,95,493.79,900.22,2025-09-04,Active
64,SKU-10-00064,"Vango Sleeping Bag",Vango,10,35,395.07,504.73,2022-09-01,Active
65,SKU-11-00065,"Nintendo Nintendo Switch OLED",Nintendo,11,93,152.72,258.71,2022-05-02,Active
66,SKU-12-00066,"Sony MX Master 3 Mouse",Sony,12,117,357.65,638.82,2025-05-02,Active
67,SKU-13-00067,"Nike Polo Shirt",Nike,13,55,126.45,213.53,2024-09-28,Active
68,SKU-14-00068,"Next Leggings",Next,14,42,194.44,303.42,2022-02-27,Active
69,SKU-15-00069,"Herschel Travel Duffel Bag",Herschel,15,33,752.25,1276.41,2020-04-20,"Out of Stock"
70,SKU-16-00070,"Citizen Chronograph Watch",Citizen,16,45,205.68,270.51,2019-10-05,"Out of Stock"
71,SKU-17-00071,"Samsung Washing Machine 8kg",Samsung,17,32,183.43,232.84,2020-02-05,Active
72,SKU-18-00072,"Shark Steam Iron",Shark,18,61,604.17,1078.91,2022-02-05,Active
73,SKU-01-00073,"Samsung Surface Laptop 5",Samsung,1,9999,335.16,611.87,2020-09-26,"Out of Stock"
74,SKU-02-00074,"Samsung QuietComfort 45",Samsung,2,100,738.27,1599.45,2020-04-03,Active
75,SKU-03-00075,"Flexispot Executive Office Chair",Flexispot,3,119,284.2,538.13,2023-12-21,Active
76,SKU-04-00076,"Wayfair Wardrobe 2-Door",Wayfair,4,10,534.93,1090.75,2024-05-03,Active
77,SKU-05-00077,"Staples Ring Binder",Staples,5,109,617.41,1244.24,2022-10-31,Discontinued
78,SKU-06-00078,"HP EcoTank ET-2810",HP,6,69,388.4,622.23,2024-02-10,Discontinued
79,SKU-07-00079,"Philips Blender Pro",Philips,7,2,765.37,1554.63,2020-03-08,Active
80,SKU-08-00080,"Wilko Photo Frame Set",Wilko,8,82,802.96,1354.39,2024-10-11,Active
81,SKU-09-00081,"Bowflex Adjustable Dumbbell Set",Bowflex,9,94,471.96,881.59,2025-01-20,Discontinued
82,SKU-10-00082,"Berghaus Hiknig Boots",Berghaus,10,60,394.84,767.76,2024-07-31,Active
83,SKU-11-00083,"Microsoft Xbox Series X",Microsoft,11,107,841.49,1274.84,2022-06-24,Active
84,SKU-12-00084,"Razer HyperX Cloud II Headset",Razer,12,73,551.25,887.53,2019-08-02,Active
85,SKU-13-00085,"H&M Bomber Jacket",H&M,13,42,167.75,243.49,2023-07-08,Active
86,SKU-14-00086,"Next Knit Cardigan",Next,14,113,538.56,1123.49,2020-03-31,Discontinued
87,SKU-15-00087,"Samsonite Crossbody Bag",Samsonite,15,25,81.62,157.86,2019-12-13,Active
88,SKU-16-00088,"Citizen Digital Sports Watch",Citizen,16,89,431.1,830.41,2021-03-08,Active
89,SKU-17-00089,"Samsung Washing Machine 8kg",Samsung,17,38,203.33,387.79,2020-09-03,Active
90,SKU-18-00090,"Morphy Richards Handheld Vacuum","Morphy Richards",18,61,500.36,788.85,2020-10-04,"Out of Stock"
91,SKU-01-00091,"Google IdeaPad 3",Google,1,46,634.06,955.76,2020-08-03,Active
92,SKU-02-00092,"Bose QuietComfort 45",Bose,2,93,177.36,241.84,2024-02-02,Discontinued
93,SKU-03-00093,"Duramont Standing Desk",Duramont,3,25,198.66,339.71,2025-06-09,"Out of Stock"
94,SKU-04-00094,"John Lewis Dining Table Set","John Lewis",4,13,750.2,1148.88,2021-01-14,Active
95,SKU-05-00095,"Pilot Ring Binder",Pilot,5,2,638.68,875.15,2023-11-17,Active
96,SKU-06-00096,"HP Ink Cartridge Black",HP,6,38,629.19,861.97,2019-01-29,Active
97,SKU-07-00097,"Ninja Food Processor",Ninja,7,2,518.79,879.83,2023-05-31,Active
98,SKU-08-00098,"Habitat Wall Mirror Round",Habitat,8,7,230.97,477.79,2023-09-04,Active
99,SKU-09-00099,"Nike Treadmill Foldable",Nike,9,63,71.3,131.76,2019-06-03,Active
100,SKU-10-00100,"Regatta Sleeping Bag",Regatta,10,104,508.74,782.77,2019-10-19,Active
101,SKU-11-00101,"Sony PlayStation 5 Digital Edition",Sony,11,98,377.48,685.62,2021-01-26,Discontinued
102,SKU-12-00102,"Razer K95 RGB Keyboard",Razer,12,58,818.11,1253.74,2021-09-26,Discontinued
103,SKU-13-00103,"H&M Hooded Sweatshirt",H&M,13,73,560.82,1025.82,2022-05-23,"Out of Stock"
104,SKU-14-00104,"Zara Wrap Dress",Zara,14,27,564.84,848.06,2025-01-15,Active
105,SKU-15-00105,"Fossil Backpack 25L",Fossil,15,23,499.03,698,2023-10-01,Active
106,SKU-16-00106,"Pandora Charm Necklace",Pandora,16,61,265.68,390.52,2021-02-05,"Out of Stock"
107,SKU-17-00107,"Bosch Tumble Dryer 8kg",Bosch,17,10,620.21,1319.63,2019-10-17,"Out of Stock"
108,SKU-18-00108,"Morphy Richards Steam Iron","Morphy Richards",18,55,107.72,157.66,2025-03-08,Active
109,SKU-01-00109,"Acer MacBook Air",Acer,1,10,58.38,116.93,2020-12-28,Discontinued
110,SKU-02-00110,"Samsung Momentum 4 Wireless",Samsung,2,118,263.31,360.24,2023-02-24,"Out of Stock"
111,SKU-03-00111,"Steelcase Conference Table",Steelcase,3,35,452.92,778.62,2020-06-24,Active
112,SKU-04-00112,"John Lewis 3-Seater Sofa","John Lewis",4,9999,391.67,609.52,2019-11-26,Active
113,SKU-05-00113,"Staples Sticky Notes Pack",Staples,5,30,865.91,1770.06,2020-01-13,Discontinued
114,SKU-06-00114,"HP Toner Cartridge Set",HP,6,106,246.21,317.17,2024-01-18,Active
115,SKU-07-00115,"Russell Hobbs Kettle 1.7L","Russell Hobbs",7,84,400.8,606.91,2023-02-02,Discontinued
116,SKU-08-00116,"Wilko Cushion Cover Set",Wilko,8,105,445.09,594.94,2021-10-22,Active
117,SKU-09-00117,"Bowflex Resistance Bands Set",Bowflex,9,42,604.77,1248.76,2022-09-15,Active
118,SKU-10-00118,"Vango Insulated Water Bottle",Vango,10,64,262.95,564.8,2022-03-06,Discontinued
119,SKU-11-00119,"Sony Nintendo Siwtch OLED",Sony,11,12,286.49,446.1,2022-08-17,Active
120,SKU-12-00120,"Sony MX Master 3 Mouse",Sony,12,85,783.08,1322.53,2023-06-25,Active
121,SKU-13-00121,"Adidas Running Shorts",Adidas,13,47,562.26,969.09,2020-06-22,Active
122,SKU-14-00122,"Zara Skinny Jeans",Zara,14,35,496.55,1058.29,2020-09-02,Active
123,SKU-15-00123,"Kipling Leather Wallet",Kipling,15,4,875.97,1601.65,2024-02-04,Active
124,SKU-16-00124,"Casio Stainless Steel Bracelet",Casio,16,71,17.24,28.23,2024-11-22,Active
125,SKU-17-00125,"Samsung Tumble Dryer 8kg",Samsung,17,16,584.7,816.4,2019-07-21,"Out of Stock"
126,SKU-18-00126,"Vax Upright Vacuum Cleaner",Vax,18,91,249.72,510.17,2022-01-06,Active
127,SKU-01-00127,"Apple ROG Strix G15",Apple,1,71,134.45,192.41,2023-10-01,Discontinued
128,SKU-02-00128,"Apple Tune 510BT",Apple,2,111,67.48,133.88,2019-07-12,Active
129,SKU-03-00129,"Steelcase Filing Cabinet 3-Drawer",Steelcase,3,106,7.3,14.16,2022-10-22,Discontinued
130,SKU-04-00130,"John Lewis Recliner Armchair","John Lewis",4,111,137.99,243.09,2019-06-02,Active
131,SKU-05-00131,"Bic Whiteboard Markers",Bic,5,59,839.9,1743.73,2022-09-11,"Out of Stock"
132,SKU-06-00132,"Canon Ink Cartridge Black",Canon,6,50,214.04,425.25,2022-05-31,Active
133,SKU-07-00133,"Breville Coffee Machine Barista",Breville,7,61,636.18,1285.62,2022-11-12,Active
134,SKU-08-00134,"Dunelm Scented Candle Set",Dunelm,8,5,117.99,255.69,2020-01-05,Active
135,SKU-09-00135,"Nike Treadmill Foldable",Nike,9,13,475.73,801.17,2021-03-19,"Out of Stock"
136,SKU-10-00136,"Regatta Hiking Boots",Regatta,10,112,591.03,825.46,2022-07-06,Active
137,SKU-11-00137,"Microsoft Xbox Series S",Microsoft,11,80,624.97,1167.03,2019-10-14,Active
138,SKU-12-00138,"Microsoft K95 RGB Keyboard",Microsoft,12,41,565.99,1184.65,2020-05-21,Active
139,SKU-13-00139,"Levi's Slim Fit Jeans",Levi's,13,80,66.24,122.52,2022-12-08,Active
140,SKU-14-00140,"H&M Denim Jacket",H&M,14,12,393.4,528.54,2019-08-13,"Out of Stock"
141,SKU-15-00141,"Samsoniet Travel Duffel Bag",Samsonite,15,22,626.13,1320.04,2022-06-12,Active
142,SKU-16-00142,"Michael Kors Chronograph Watch","Michael Kors",16,38,325.82,540.59,2024-06-16,Active
143,SKU-17-00143,"Hotpoint Tumble Dryer 8kg",Hotpoint,17,73,615.21,874.25,2022-01-22,Active
144,SKU-18-00144,"Dyson Upright Vacuum Cleaner",Dyson,18,112,347.38,659.67,2022-06-19,Active
145,SKU-01-00145,"Lenovo ZenBook 14",Lenovo,1,60,575.92,971.34,2022-01-31,"Out of Stock"
146,SKU-02-00146,"Sony SRS-XB13 Speaker",Sony,2,116,262.43,464.31,2019-05-23,Active
147,SKU-03-00147,"Alphason Bookcase 5-Shelf",Alphason,3,76,272.74,590.19,2022-02-13,"Out of Stock"
148,SKU-04-00148,"Habitat Recliner Armchair",Habitat,4,109,275.4,605.72,2024-06-12,Active
149,SKU-05-00149,"Staples Highlgihter Set",Staples,5,49,516.87,928.34,2023-11-18,"Out of Stock"
150,SKU-06-00150,"Epson Office Printer LaserJet",Epson,6,107,594.12,897.57,2021-09-03,Discontinued
151,SKU-07-00151,"Philips Food Processor",Philips,7,96,876.37,1853.6,2024-07-05,"Out of Stock"
152,SKU-08-00152,"Wilko Photo Frame Set",Wilko,8,100,719.98,1315.2,2024-01-13,Active
153,SKU-09-00153,"Adidas Kettlebell 10kg",Adidas,9,25,560.7,1061.9,2022-11-26,"Out of Stock"
154,SKU-10-00154,"Regatta Insulated Water Bottle",Regatta,10,13,813.55,1516.48,2019-04-22,Active
155,SKU-11-00155,"Microsoft PlayStation 5",Microsoft,11,75,331.55,455.83,2021-04-29,Active
156,SKU-12-00156,"SteelSeries K95 RGB Keyboard",SteelSeries,12,23,184.71,368.9,2019-06-07,Active
157,SKU-13-00157,"Levi's Running Shorts",Levi's,13,117,248.91,350.05,2025-09-16,Active
158,SKU-14-00158,"Next Denim Jacket",Next,14,112,308.15,418.9,2025-04-22,Active
159,SKU-15-00159,"Fossil Backpack 25L",Fossil,15,111,610.31,1153.9,2019-06-20,Active
160,SKU-16-00160,"Citizen Stainless Steel Bracelet",Citizen,16,12,712.66,900.25,2025-04-20,Discontinued
161,SKU-17-00161,"Samsung Tumble Dryer 8kg",Samsung,17,48,607.18,1146.8,2019-03-20,Discontinued
162,SKU-18-00162,"Bosch Handheld Vacuum",Bosch,18,14,608.98,1033.99,2021-10-04,Discontinued
163,SKU-01-00163,"Google IdeaPad 3",Google,1,118,551.02,1027.8,2024-03-10,"Out of Stock"
164,SKU-02-00164,"Anker SRS-XB13 Speaker",Anker,2,117,632.46,1180.66,2024-03-02,Active
165,SKU-03-00165,"Herman Miller Executive Office Chair","Herman Miller",3,5,277.41,476.59,2025-08-08,Active
166,SKU-04-00166,"Argos Home Bedside Table","Argos Home",4,50,411.01,775.56,2023-05-12,"Out of Stock"
167,SKU-05-00167,"Rhodia Whiteboard Markers",Rhodia,5,76,669.33,934.92,2021-11-02,Active
168,SKU-06-00168,"HP Wireless All-in-One Printer",HP,6,79,370.26,797.52,2025-09-13,Active
169,SKU-07-00169,"Philips Blender Pro",Philips,7,28,401.83,865.15,2021-07-31,Active
170,SKU-08-00170,"IKEA Cushion Cover Set",IKEA,8,48,492.3,1072.7,2024-11-13,Active
171,SKU-09-00171,"Nike Treadmill Foldable",Nike,9,36,174.88,238.9,2025-02-13,Active
172,SKU-10-00172,"The North Face Insulated Water Bottle","The North Face",10,28,579.33,1052.81,2021-07-14,Active
173,SKU-11-00173,"Sony Xbox Series S",Sony,11,32,-889.99,1777.87,2023-08-10,Active
174,SKU-12-00174,"Logitech Arctis 7 Headset",Logitech,12,76,198.28,411.67,2023-06-20,Active
175,SKU-13-00175,"Adidas Bomber Jacket",Adidas,13,116,538.4,814.82,2022-08-22,Active
176,SKU-14-00176,"H&M Blouse",H&M,14,33,719.67,974.74,2023-05-30,Active
177,SKU-15-00177,"Fossil Leather Wallet",Fossil,15,46,712.04,1051,2021-05-07,Active
178,SKU-16-00178,"Fossil Digital Sports Watch",Fossil,16,34,51.9,101.45,2020-03-15,Discontinued
179,SKU-17-00179,"Samsung Washing Machine 8kg",Samsung,17,61,406.21,647.47,2022-08-17,Discontinued
180,SKU-18-00180,"Dyson Robot Vacuum Cleaner",Dyson,18,65,203.29,372.91,2022-07-27,"Out of Stock"
181,SKU-01-00181,"Google Spectre x360",Google,1,59,580.79,743.17,2023-11-30,Active
182,SKU-02-00182,"Anker Soundcore Life Q30",Anker,2,55,619.06,1062.16,2020-07-02,Active
183,SKU-03-00183,"IKEA Ergonomic Mesh Chair",IKEA,3,42,549.43,721.07,2019-01-09,Active
184,SKU-04-00184,"John Lewis TV Stand","John Lewis",4,49,895.19,1570.19,2019-02-26,Active
185,SKU-05-00185,"Leitz Whiteboard Markers",Leitz,5,13,714.82,971.22,2021-01-05,"Out of Stock"
186,SKU-06-00186,"Canon Wireless All-in-One Printer",Canon,6,58,799.84,1314.24,2023-07-19,Active
187,SKU-07-00187,"Russell Hobbs Toaster 4-Slice","Russell Hobbs",7,94,90.1,149.15,2022-09-04,"Out of Stock"
188,SKU-08-00188,"Habitat Photo Frame Set",Habitat,8,20,619.7,1053.83,2022-08-04,Active
189,SKU-09-00189,"Nike Yoga Mat",Nike,9,56,91.43,178.46,2024-07-22,Active
190,SKU-10-00190,"Berghaus 2-Person Tent",Berghaus,10,76,861.18,1536,2020-09-02,"Out of Stock"
191,SKU-11-00191,"Sony Nintendo Switch OLED",Sony,11,46,786.88,1687.13,2021-05-03,Active
192,SKU-12-00192,"Microsoft MX Master 3 Mouse",Microsoft,12,37,542.37,859.15,2020-11-10,Discontinued
193,SKU-13-00193,"Levi's Cotton T-Shirt",Levi's,13,20,592.78,867.26,2025-04-29,Active
194,SKU-14-00194,"Next Wrap Dress",Next,14,72,333.97,659.42,2023-11-23,Discontinued
195,SKU-15-00195,"Fossil Travel Duffel Bag",Fossil,15,109,507.06,1003.5,2019-10-06,Discontinued
196,SKU-16-00196,"Citizen Charm Necklace",Citizen,16,4,550.05,1031.31,2024-06-18,"Out of Stock"
197,SKU-17-00197,"Bosch Washing Machine 8kg",Bosch,17,24,249.58,492.74,2021-10-30,Active
198,SKU-18-00198,"Vax Cordless Vacuum Cleaner",Vax,18,24,783.53,1400.96,2024-03-03,Active
199,SKU-01-00199,"HP MacBook Air",HP,1,95,571.69,731.26,2024-12-18,"Out of Stock"
200,SKU-02-00200,"Apple HD 450BT",Apple,2,49,380.75,599.24,2019-02-08,Active
201,SKU-03-00201,"Steelacse Bookcase 5-Shelf",Steelcase,3,100,847.56,1539.52,2020-05-22,Active
202,SKU-04-00202,"Argos Home Bedside Table","Argos Home",4,97,557.97,1054.71,2019-09-06,Active
203,SKU-05-00203,"Post-it Whiteboard Markers",Post-it,5,63,548.33,901.17,2019-03-24,Active
204,SKU-06-00204,"HP EcoTank ET-2810",HP,6,56,104.25,197.48,2023-01-13,Discontinued
205,SKU-07-00205,"Russell Hobbs Kettle 1.7L","Russell Hobbs",7,86,281.04,410.18,2023-09-30,Discontinued
206,SKU-08-00206,"IKEA Table Lamp",IKEA,8,27,274.77,398.6,2019-04-30,Active
207,SKU-09-00207,"Reebok Resistance Bands Set",Reebok,9,42,112.39,193.59,2023-12-31,Active
208,SKU-10-00208,"Regatta Sleeping Bag",Regatta,10,49,481.66,707.37,2021-09-18,Discontinued
209,SKU-11-00209,"Nintendo Xbox Series S",Nintendo,11,10,360.38,704.52,2020-07-31,Active
210,SKU-12-00210,"Logitech HyperX Cloud II Headset",Logitech,12,118,74.69,115.58,2020-06-19,Active
211,SKU-13-00211,"Levi's Chino Trousers",Levi's,13,91,577.93,881.37,2024-10-30,Active
212,SKU-14-00212,"Zara Knit Cardigan",Zara,14,22,722.18,1326.8,2019-05-20,"Out of Stock"
213,SKU-15-00213,"Herschel Leather Wallet",Herschel,15,56,760.81,1126.87,2022-05-27,Discontinued
214,SKU-16-00214,"Pandora Charm Necklace",Pandora,16,11,359.21,554.89,2020-12-14,Active
215,SKU-17-00215,"LG Dishwasher Integrated",LG,17,100,155.48,269.75,2024-07-03,Active
216,SKU-18-00216,"Morphy Richards Upright Vacuum Cleaner","Morphy Richards",18,25,815.8,1290.52,2023-12-09,"Out of Stock"
217,SKU-01-00217,"Lenovo ZenBook 14",Lenovo,1,14,136.07,195.59,2021-02-25,Discontinued
218,SKU-02-00218,"Bose QuietComfort 45",Bose,2,23,856.41,1581.41,2023-01-13,Active
219,SKU-03-00219,"Flexispot Task Chair",Flexispot,3,88,832.12,1486.39,2023-07-16,"Out of Stock"
220,SKU-04-00220,"John Lewis TV Stand","John Lewis",4,111,874.02,1355.02,2021-03-01,Active
221,SKU-05-00221,"Staples Correction Tape",Staples,5,57,570.09,1143.89,2021-01-13,Discontinued
222,SKU-06-00222,"HP EcoTank ET-2810",HP,6,65,71.4,120.57,2019-12-20,Active
223,SKU-07-00223,"Ninja Blender Pro",Ninja,7,107,261.93,487.83,2023-06-16,Active
224,SKU-08-00224,"Wilko Scented Candle Set",Wilko,8,75,501.11,1003.34,2020-06-28,Active
225,SKU-09-00225,"Bowflex Exercise Bike",Bowflex,9,84,173.47,316.54,2021-01-10,Discontinued
226,SKU-10-00226,"Regatta 2-Person Tent",Regatta,10,58,97.63,205.43,2019-05-31,Active
227,SKU-11-00227,"Nintendo PlayStation 5",Nintendo,11,65,583.28,750.79,2025-05-27,"Out of Stock"
228,SKU-12-00228,"Corsair HyperX Cloud II Headset",Corsair,12,68,472.86,662.39,2024-12-08,Active
229,SKU-13-00229,"Zara Chino Trousers",Zara,13,53,698.15,1322.96,2025-02-25,Active
230,SKU-14-00230,"Nike Denim Jacket",Nike,14,43,63.99,85.73,2023-03-24,"Out of Stock"
231,SKU-15-00231,"Kipling Laptop Bag 15-inch",Kipling,15,33,652.74,1223.06,2021-11-19,Discontinued
232,SKU-16-00232,"Casio Stainless Steel Bracelet",Casio,16,11,526.55,728.93,2022-05-06,Active
233,SKU-17-00233,"Bosch Tumble Dryer 8kg",Bosch,17,17,537.56,1150.97,2025-07-24,Active
234,SKU-18-00234,"Morphy Richards Robot Vacuum Cleaner","Morphy Richards",18,83,713.54,1443.15,2025-05-10,"Out of Stock"
235,SKU-01-00235,"Google Pavilion 14",Google,1,83,605.06,1048.61,2023-07-13,Active
236,SKU-02-00236,"JBL AirPods Pro 2",JBL,2,24,856.3,1348.37,2024-04-21,Active
237,SKU-03-00237,"Herman Miller Adjustable Desk Riser","Herman Miller",3,18,143.68,219.97,2021-02-24,Active
238,SKU-04-00238,"John Lewis 3-Seater Soaf","John Lewis",4,85,306.4,606.06,2021-10-23,Active
239,SKU-05-00239,"Leitz Whiteboard Markers",Leitz,5,20,150.21,306.4,2020-01-03,Discontinued
240,SKU-06-00240,"Canon Toner Cartridge Set",Canon,6,57,44.1,70.39,2021-07-16,"Out of Stock"
241,SKU-07-00241,"KitchenAid Toaster 4-Slice",KitchenAid,7,79,260.01,509.91,2024-02-03,Active
242,SKU-08-00242,"Dunelm Area Rug 160x230",Dunelm,8,31,281.97,569.07,2022-03-13,Active
244,SKU-10-00244,"Coleman Hiking Boots",Coleman,10,65,477.08,1034.29,2021-01-11,Active
245,SKU-11-00245,"Nintendo Xbox Series X",Nintendo,11,112,228.75,425.27,2023-10-11,Active
246,SKU-12-00246,"Sony G Pro Wireless Mouse",Sony,12,92,762.07,1568.8,2024-06-09,Active
247,SKU-13-00247,"Nike Bomber Jacket",Nike,13,21,249.15,525.72,2025-03-04,Active
248,SKU-14-00248,"New Look Floral Midi Dress","New Look",14,117,203.72,341.96,2022-10-18,Active
249,SKU-15-00249,"Samsonite Travel Duffel Bag",Samsonite,15,7,359.83,577.62,2025-07-13,Active
250,SKU-16-00250,"Fossil Stainless Steel Bracelet",Fossil,16,29,30.23,64.52,2022-10-05,"Out of Stock"
251,SKU-17-00251,"Bosch Fridge Freezer 70/30",Bosch,17,18,39.28,83.33,2019-11-27,Active
252,SKU-18-00252,"Shark Robot Vacuum Cleaner",Shark,18,58,555.74,1172.93,2020-08-21,Active
253,SKU-01-00253,"Acer Aspire 5",Acer,1,107,138.82,297.52,2020-05-16,Discontinued
254,SKU-02-00254,"Apple Soundcore Life Q30",Apple,2,15,699.67,1032.54,2023-05-14,Active
255,SKU-03-00255,"IKEA Adjustable Desk Riser",IKEA,3,54,576.86,1062.39,2025-03-23,Active
